status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,BH Neunkirchen,Bezirkshauptmannschaft Neunkirchen,,,Peischingerstraße 17,Neunkirchen,,2620,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_14_25-08-2020,,,post.bhnk@noel.gv.at,"Phone: +43263590250, Fax: +432635902535000",,,,,,,,,,,,
,,BH Scheibbs,Bezirkshauptmannschaft Scheibbs,,,Rathausplatz 5,Scheibbs,,3270,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_15_25-08-2020,,,post.bhsb@noel.gv.at,"Phone: +43748290250, Fax: +437482902538000",,,,,,,,,,,,
,,BH St. Pölten,Bezirkshauptmannschaft St. Pölten,,,Am Bischofteich 1,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_16_25-08-2020,,,post.bhpl@noel.gv.at ,"Phone: +43274290250, Fax: +432742902537000",,,,,,,,,,,,
,,BH Tulln,Bezirkshauptmannschaft Tulln,,,Hauptplatz 33,Tulln an der Donau,,3430,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_17_25-08-2020,,,post.bhtu@noel.gv.at ,"Phone: +43227290250, Fax: +432272902539000",,,,,,,,,,,,
,,BH Waidhofen an der Thaya,Bezirkshauptmannschaft Waidhofen an der Thaya,,,Aignerstraße 1,Waidhofen an der Thaya,,3830,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_18_25-08-2020,,,post.bhwt@noel.gv.at ,"Phone: +43284290250, Fax: +432842902540000",,,,,,,,,,,,
,,BH Wiener Neustadt,Bezirkshauptmannschaft Wiener Neustadt,,,Ungargasse 33,Wiener Neustadt,,2700,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_19_25-08-2020,,,post.bhwb@noel.gv.at,"Phone: +43262290250, Fax: +432622902541000",,,,,,,,,,,,
,,BH Zwettl,Bezirkshauptmannschaft Zwettl,,,Am Statzenberg 1,Zwettl,,3910,Niederösterreich,AUSTRIA,,,bezirkshauptmannschaften_niederoesterreich_20_25-08-2020,,,post.bhzt@noel.gv.at,"Phone: +43282290250, Fax: +432822902542000",,,,,,,,,,,,
,,Bildungsdirektion für Niederösterreich,Bildungsdirektion für Niederösterreich,,,Rennbahnstraße 29,St. Pölten,,3109,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_1_19-09-2020,,,office@bildung-noe.gv.at,"Phone: +4327422800, Fax: +4327422801111",,,,,,,,,,,,
,,Landespolizeidirektion Niederösterreich,Landespolizeidirektion Niederösterreich,,,Neue Herrengasse 15,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_2_19-09-2020,,,LPD-N@polizei.gv.at,"Phone: +4359133300, Fax: +4359133301009",,,,,,,,,,,,
,,VP NÖ,Volkspartei Niederösterreich,,,Ferstlergasse 4,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_3_19-09-2020,,,vp.direkt@vpnoe.at,"Phone: +4327429020, Fax: ",,,,,,,,,,,,
,,SPÖ NÖ,"Sozialdemokratischen Partei Österreichs, Landesorganisation Niederösterreich",,,Niederösterreichring 1a,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_4_19-09-2020,,,servicenoe@spoe.at,"Phone: +4327422255, Fax: ",,,,,,,,,,,,
,,Grüne NÖ,Die Grünen Niederösterreich,,,Daniel Gran Straße 48,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_5_19-09-2020,,,noe@gruene.at,"Phone: +432742310660, Fax: ‘+43274231066011",,,,,,,,,,,,
,,FPÖ NÖ,FPÖ-Landesgruppe NÖ,,,Purkersdorferstraße 38,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_6_19-09-2020,,,fpoe-niederoesterreich@fpoe.at,"Phone: +432742256280, Fax: +43274225628034",,,,,,,,,,,,
,,Wirtschaftskammer Niederösterreich,Wirtschaftskammer Niederösterreich,,,Wirtschaftskammer-Platz 1,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_7_18-08-2020,,,wknoe@wknoe.at,"Phone: +4327428510, Fax: +43274285115899",,,,,,,,,,,,
,,Rechtanswaltskammer Niederösterreich,Rechtanswaltskammer Niederösterreich,,,Andreas-Hofer-Straße 6,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_8_18-08-2020,,,office@raknoe.at,"Phone: +432742716500, Fax: +43274276588",,,,,,,,,,,,
,,Landeszahnärztekammer Niederösterreich,Landeszahnärztekammer Niederösterreich,,,Kremser Gasse 20,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_9_18-08-2020,,,office@noe.zahnaerztekammer.at,"Phone: +43505113100, Fax: +43505113109",,,,,,,,,,,,
,,"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ",,,Landesgerichtsstraße 20,Wien,,1010,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_10_18-08-2020,,,kammer-wnb@notar.or.at,"Phone: +43140245090, Fax: +4314063475",,,,,,,,,,,,
,,Ärztekammer Niederösterreich,Ärztekammer Niederösterreich,,,Wipplingerstraße 2,Wien,,1010,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_11_18-08-2020,,,arztnoe@arztnoe.at,"Phone: +431537510, Fax: +4315375119",,,,,,,,,,,,
,,Apothekerkammer Niederösterreich,Apothekerkammer Niederösterreich,,,Spitalgasse 31,Wien Postfach,,1091,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_12_18-08-2020,,,noe@apothekerkammer.at,"Phone: +43140414162, Fax: +4314088818",,,,,,,,,,,,
,,Arbeiterkammer Niederösterreich,Kammer für Arbeiter und Angestellte für Niederösterreich,,,AK-Platz 1,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_13_18-08-2020,,,mailbox@aknoe.at,"Phone: +4357171, Fax: ",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich,Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich,,,Schönbrunnerstraße 222-228/1/6/2,Wien,,1120,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_14_18-08-2020,,,office@ksw.or.at,"Phone: +431811730, Fax: +43181173100",,,,,,,,,,,,
,,"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland",,,Karlsgasse 9/1,Wien,,1040,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_15_18-08-2020,,,kammer@arching.at,"Phone: +4315051781, Fax: +4315051005",,,,,,,,,,,,
,,NÖ Landarbeiterkammer,Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in Niederösterreich,,,Marco d'Avianogasse 1/1,Wien,,1010,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_16_18-08-2020,,,lak@lak-noe.at,"Phone: +431512160110, Fax: +4315139366",,,,,,,,,,,,
,,Donau Uni,Universität für Weiterbildung Krems,,,Dr.-Karl-Dorrek-Straße 30,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_18_23-08-2020,,,info@donau-uni.ac.at,"Phone: +4327328930, Fax: +4327328934000",,,,,,,,,,,,
,,Bertha von Suttner Privatuniversität,Bertha von Suttner Privatuniversität St. Pölten GmbH,,,Matthias Corvinus-Straße 15,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_19_24-08-2020,,,office@suttneruni.at,"Phone: +432742313228800, Fax: ",,,,,,,,,,,,
,,DPU,Danube Private University GmbH,,,Steiner Landstraße 124,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_20_24-08-2020,,,info@dp-uni.ac.at,"Phone: +43676842419305, Fax: ",,,,,,,,,,,,
,,NDU,New Design University Privatuniversität GesmbH,,,Mariazeller Straße 97a,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_21_24-08-2020,,,office@ndu.ac.at,"Phone: +4327428902411, Fax: +4327428902413",,,,,,,,,,,,
,,IMC Fachhochschule Krems,IMC Fachhochschule Krems GmbH,,,Piaristengasse 1,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_22_24-08-2020,,,datenschutz@fh-krems.ac.at,"Phone: +432732802, Fax: ",,,,,,,,,,,,
,,FH St. Pölten,Fachhochschule St. Pölten GmbH,,,Matthias Corvinus-Straße 15,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_23_24-08-2020,,,csc@fhstp.ac.at,"Phone: +432742313228200, Fax: +432742313228339",,,,,,,,,,,,
,,FH Wiener Neustadt,Fachhochschule Wiener Neustadt GmbH,,,Johannes Gutenberg-Straße 3,Wiener Neustadt,,2700,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_24_24-08-2020,,,office@fhwn.ac.at,"Phone: +432622890840, Fax: +4326228908499",,,,,,,,,,,,
,,Ferdinand Porsche FernFH,Ferdinand Porsche Fern-Fachhochschule GmbH,,,Ferdinand Porsche Ring 3,Wiener Neustadt,,2700,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_25_24-08-2020,,,office@fernfh.ac.at,"Phone: +43262232600, Fax: ",,,,,,,,,,,,
,,MilAk,Theresianische Militärakademie,,,Burgplatz 1,Wiener Neustadt,,2700,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_26_24-08-2020,,,redaktion.milak@bmlv.gv.at,"Phone: +43502012028901, Fax: ",,,,,,,,,,,,
,,PH Niederösterreich,Pädagogische Hochschule Niederösterreich,,,Mühlgasse 67,Baden,,2500,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_27_24-08-2020,,,support@ph-noe.ac.at,"Phone: +43225288570108, Fax: ",,,,,,,,,,,,
,,KPH Wien/Krems,Kirchliche Pädagogische Hochschule Wien/Krems,,,Mayerweckstraße 1,Wien,,1210,Wien,AUSTRIA,,,niederoesterreich_niederoesterreich_28_24-08-2020,,,datenschutz@kphvie.ac.at,"Phone: +431291080, Fax: +43129108402",,,,,,,,,,,,
,,KL,Karl Landsteiner Privatuniversität für Gesundheitswissenschaften GmbH,,,Dr.-Karl-Dorrek-Straße 30,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,niederoesterreich_niederoesterreich_29_24-08-2020,,,office@kl.ac.at,"Phone: +432732720900, Fax: +43273272090500",,,,,,,,,,,,
,,BH Braunau,Bezirkshauptmannschaft Braunau,,,Hammersteinplatz 1,Braunau am Inn,,5280,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_1_19-08-2020,,,bh-br.post@ooe.gv.at,"Phone: +4377228030, Fax: ",,,,,,,,,,,,
,,BH Freistadt,Bezirkshauptmannschaft Freistadt,,,Promenade 5,Freistadt,,4240,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_2_19-08-2020,,,bh-fr.post@ooe.gv.at,"Phone: +4379427020, Fax: +437942702262399",,,,,,,,,,,,
,,BH Gmunden,Bezirkshauptmannschaft Gmunden,,,Esplanade 10,Gmunden,,4810,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_3_19-08-2020,,,bh-gm.post@ooe.gv.at,"Phone: +4376127920, Fax: +437327720263399",,,,,,,,,,,,
,,BH Grieskirchen und Eferding,Bezirkshauptmannschaften Grieskirchen und Eferding,,,Manglburg 14,Grieskirchen,,4710,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_4_19-08-2020,,,BH-GR-EF.Post@ooe.gv.at,"Phone: +4372486030, Fax: +437327720264399",,,,,,,,,,,,
,,BH Kirchdorf,Bezirkshauptmannschaft Kirchdorf,,,Garnisonstraße 3,Kirchdorf an der Krems,,4560,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_5_19-08-2020,,,bh-ki.post@ooe.gv.at,"Phone: +4375826850, Fax: +437582685265399",,,,,,,,,,,,
,,BH Linz-Land,Bezirkshauptmannschaft Linz-Land,,,Kärntnerstraße 14-16,Linz,,4020,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_6_19-08-2020,,,bh-ll.post@ooe.gv.at,"Phone: +43732694140, Fax: +4373269414266399",,,,,,,,,,,,
,,BH Perg,Bezirkshauptmannschaft Perg,,,Dirnbergerstraße 11,Perg,,4320,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_7_19-08-2020,,,bh-pe.post@ooe.gv.at,"Phone: +4372625510, Fax: +437262551267399",,,,,,,,,,,,
,,BH Ried,Bezirkshauptmannschaft Ried,,,Parkgasse 1,Ried im Innkreis,,4910,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_8_19-08-2020,,,bh-ri.post@ooe.gv.at,"Phone: +4377529120, Fax: +437327720268399",,,,,,,,,,,,
,,BH Rohrbach,Bezirkshauptmannschaft Rohrbach,,,Am Teich 1,Rohrbach in Oberösterreich,,4150,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_9_19-08-2020,,,bh-ro.post@ooe.gv.at,"Phone: +43728988510, Fax: +4372898851269399",,,,,,,,,,,,
,,BH Schärding,Bezirkshauptmannschaft Schärding,,,Ludwig-Pfliegl-Gasse 11,Schärding,,4780,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_10_19-08-2020,,,Personal.BH-SD.Post@ooe.gv.at,"Phone: +43771231050, Fax: +4377123105270399",,,,,,,,,,,,
,,BH Steyr-Land,Bezirkshauptmannschaft Steyr-Land,,,Spitalskystraße 10a,Steyr,,4400,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_11_19-08-2020,,,bh-se.post@ooe.gv.at,"Phone: +437252523610, Fax: +43725252361271399",,,,,,,,,,,,
,,BH Urfahr-Umgebung,Bezirkshauptmannschaft Urfahr-Umgebung,,,Peuerbachstraße 26,Linz,,4040,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_12_19-08-2020,,,bh-uu.post@ooe.gv.at,"Phone: +437327313010, Fax: +43732731301272399",,,,,,,,,,,,
,,BH Vöcklabruck,Bezirkshauptmannschaft Vöcklabruck,,,Sportplatzstraße 1-3,Vöcklabruck,,4840,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_13_19-08-2020,,,bh-vb.post@ooe.gv.at,"Phone: +4376727020, Fax: +437672702273399",,,,,,,,,,,,
,,BH Wels-Land,Bezirkshauptmannschaft Wels-Land,,,Herrengasse 8,Wels,,4600,Oberösterreich,AUSTRIA,,,bezirkshauptmannschaften_oberoesterreich_14_19-08-2020,,,bh-wl.post@ooe.gv.at,"Phone: +4372426180, Fax: +437242618274399",,,,,,,,,,,,
,,Bildungsdirektion Oberösterreich,Bildungsdirektion Oberösterreich,,,Sonnensteinstraße 20,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_1_19-08-2020,,,bd.post@bildung-ooe.gv.at,"Phone: +4373270714131, Fax: +4373270714140",,,,,,,,,,,,
,,Landespolizeidirektion Oberösterreich,Landespolizeidirektion Oberösterreich,,,Gruberstraße 35,"Linz, Donau Postfach",,4021,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_2_19-08-2020,,,LPD-O@polizei.gv.at,"Phone: +4359133500, Fax: +4359133407800",,,,,,,,,,,,
,,Wirtschaftskammer Oberösterreich,Wirtschaftskammer Oberösterreich,,,Hessenplatz 3,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_3_18-08-2020,,,service@wkooe.at,"Phone: +43590909, Fax: +435909092800",,,,,,,,,,,,
,,Rechtanswaltskammer Oberösterreich,Rechtanswaltskammer Oberösterreich,,,Gruberstraße 21,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_4_18-08-2020,,,office@ooerak.or.at,"Phone: +43732771730, Fax: +4373277173085",,,,,,,,,,,,
,,Landeszahnärztekammer Oberösterreich,Landeszahnärztekammer Oberösterreich,,,Marienstraße 9/1,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_5_18-08-2020,,,office@ooe.zahnaerztekammer.at,"Phone: +43505114010, Fax: +43505114014",,,,,,,,,,,,
,,Notariatskammer für Oberösterreich,Notariatskammer für Oberösterreich,,,Schmiedegasse 20/5,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_6_18-08-2020,,,oberoesterreich@notariatskammer.at,"Phone: +43732737073, Fax: +43732708019",,,,,,,,,,,,
,,Ärztekammer Oberösterreich,Ärztekammer Oberösterreich,,,Dinghoferstraße 4,"Linz, Donau",,4010,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_7_18-08-2020,,,aekooe@aekooe.at,"Phone: +437327783710, Fax: +43732783660300",,,,,,,,,,,,
,,Apothekerkammer Oberösterreich,Apothekerkammer Oberösterreich,,,Mozartstraße 26/1,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_8_18-08-2020,,,ooe@apothekerkammer.at,"Phone: +43732770350, Fax: +4314028602951",,,,,,,,,,,,
,,Arbeiterkammer Oberösterreich,Kammer für Arbeiter und Angestellte für Oberösterreich,,,Volksgartenstraße 40,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_9_18-08-2020,,,online@akooe.at,"Phone: +43506906, Fax: +435069062860",,,,,,,,,,,,
,,Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich,Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich,,,Landstraße 49/III,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_10_18-08-2020,,,ooe@ksw.or.at,"Phone: +43732773385, Fax: +4373277338515",,,,,,,,,,,,
,,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,,,Kaarstraße 2/II,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_11_18-08-2020,,,linz@arching-zt.at,"Phone: +43732738394, Fax: +437327383944",,,,,,,,,,,,
,,OÖ Landarbeiterkammer,Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in OÖ,,,Scharitzerstraße 9,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_12_18-08-2020,,,office@lak-ooe.at,"Phone: +43732656381, Fax: ",,,,,,,,,,,,
,,KFA für die Beamten der Landeshauptstadt Linz,Krankenfürsorge für die Beamten der Landeshauptstadt Linz,,,Hauptplatz 1,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_13_20-08-2020,,,mkf@mag.linz.at,"Phone: +4373270701241, Fax: ",,,,,,,,,,,,
,,KFA für oberösterreichische Gemeinden,Kranken- und Unfallfürsorge für oberösterreichische Gemeinden,,,Ferihumerstraße 8,"Linz, Donau Postfach",,4041,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_14_20-08-2020,,,office@kfg.ooe.gv.at,"Phone: +437327880000, Fax: +4373278800030",,,,,,,,,,,,
,,KFA für oberösterreichische Landesbedienstete,Kranken- und Unfallfürsorge für oberösterreichische Landesbedienstete,,,Promenade 28,"Linz, Donau",,4010,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_15_20-08-2020,,,klf.post@ooe.gv.at,"Phone: +43732772013861, Fax: ",,,,,,,,,,,,
,,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,,,Leonfeldner Straße 11,"Linz, Donau Postfach",,4041,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_16_20-08-2020,,,office@kfg.ooe.gv.at,"Phone: +437326682210, Fax: ",,,,,,,,,,,,
,,KFA für Beamte der Stadt Steyr,Krankenfürsorgeanstalt für Beamte der Stadt Steyr,,,"Stadtplatz 27, Postfach 200",Steyr,,4400,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_17_20-08-2020,,,kfa@steyr.gv.at,"Phone: +437252575, Fax: ",,,,,,,,,,,,
,,KFA für die Beamten der Stadt Wels,Krankenfürsorge für die Beamten der Stadt Wels,,,Stadtpiatz 1,Wels,,4600,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_18_20-08-2020,,,kfw@wels.gv.at,"Phone: +4372422354800, Fax: ",,,,,,,,,,,,
,,Pensionsinstitut der Linz AG,Pensionsinstitut der Linz AG,,,"Wiener Straße 151, Postfach 1300","Linz, Donau Postfach",,4021,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_19_20-08-2020,,,pensionsinstitut@linzag.at,"Phone: +4373234003518, Fax: +4373234003522",,,,,,,,,,,,
,,JKU,Johannes Kepler Universität Linz,,,Altenberger Straße 69,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_20_23-08-2020,,,datenschutz@jku.at,"Phone: +4373224680, Fax: +4373224684929",,,,,,,,,,,,
,,Bruckner Uni,Anton Bruckner Privatuniversität,,,Hagenstraße 57,Linz,,4040,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_21_24-08-2020,,,information@bruckneruni.at,"Phone: +43732701000, Fax: +43732701000299",,,,,,,,,,,,
,,KU Linz,Katholische Privat-Universität Linz,,,Bethlehemstraße 20,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_22_24-08-2020,,,office@ku-linz.at,"Phone: +43732784293, Fax: +437327842934155",,,,,,,,,,,,
,,FH Oberösterreich,FH OÖ Studienbetriebs GmbH,,,Roseggerstraße 15,Wels,,4600,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_23_24-08-2020,,,info@fh-ooe.at,"Phone: +435080410, Fax: +435080411900",,,,,,,,,,,,
,,FH Gesundheitsberufe Oberösterreich,FH Gesundheitsberufe OÖ GmbH,,,Semmelweisstraße 34/D3,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_24_24-08-2020,,,office@fhgooe.ac.at,"Phone: +435034420000, Fax: +435034420099",,,,,,,,,,,,
,,PH Oberösterreich,Pädagogische Hochschule Oberösterreich,,,Kaplanhofstraße 40,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_25_24-08-2020,,,office@ph-ooe.at,"Phone: +4373274700, Fax: ",,,,,,,,,,,,
,,PH Linz,Private Pädagogische Hochschule der Diözese Linz,,,Salesianumweg 3,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_26_24-08-2020,,,office@ph-linz.at,"Phone: +43732772666, Fax: ",,,,,,,,,,,,
,,UFG,Universität für künstlerische und industrielle Gestaltung Linz,,,Hauptplatz 6,Linz,,4020,Oberösterreich,AUSTRIA,,,oberoesterreich_oberoesterreich_27_23-08-2020,,,datenschutz@ufg.at,"Phone: +437327898, Fax: +43732783508",,,,,,,,,,,,
,,ÖAMTC,"Österreichischer Automobil-, Motorrad- und Touringclub",,,Baumgasse 129,Wien,,1030,Wien,AUSTRIA,,,vereine_privat_1_24-08-2020,,,office@oeamtc.at,"Phone: +431711990, Fax: ",,,,,,,,,,,,
,,Rotes Kreuz,Österreichisches Rotes Kreuz,,,Wiedner Hauptstraße 32,Wien Postfach,,1041,Wien,AUSTRIA,,,vereine_privat_2_24-08-2020,,,service@roteskreuz.at,"Phone: +431589000, Fax: +43158900199",,,,,,,,,,,,
,,ARBÖ,"Auto-, Motor- und Radfahrerbund Österreichs, Bundesorganisation",,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,vereine_privat_3_24-08-2020,,,info@arboe.at,"Phone: +431891210, Fax: +43189121236",,,,,,,,,,,,
,,WWF,Umweltverband WWF Österreich (WORLD WIDE FUND FOR NATURE),,,Ottakringer Straße 114-116,Wien,,1160,Wien,AUSTRIA,,,vereine_privat_4_24-08-2020,,,wwf@wwf.at,"Phone: +431488170, Fax: +4314881744",,,,,,,,,,,,
,,Greenpeace,Greenpeace in Zentral- und Osteuropa,,,Wiedner Hauptstraße 120-124,Wien,,1050,Wien,AUSTRIA,,,vereine_privat_5_24-08-2020,,,service@greenpeace.at,"Phone: +4315454580, Fax: ",,,,,,,,,,,,
,,Global2000,GLOBAL 2000/Friends of the Earth Austria,,,Neustiftgasse 36,Wien,,1070,Wien,AUSTRIA,,,vereine_privat_6_24-08-2020,,,office@global2000.at,"Phone: +4318125730, Fax: +4318125728",,,,,,,,,,,,
,,Ärzte ohne Grenzen,Ärzte ohne Grenzen Österreich,,,Taborstraße 10,Wien,,1020,Wien,AUSTRIA,,,vereine_privat_7_24-08-2020,,,datenschutz@aerzte-ohne-grenzen.at,"Phone: +4314097276, Fax: +431409727640",,,,,,,,,,,,
,,Skywarn,SKYWARN Austria - Organisation für mobile Unwettermeldungen und Wetterbeobachtung in Österreich,,,Weißenbachstraße 7,Adlwang,,4541,Oberösterreich,AUSTRIA,,,vereine_privat_8_24-08-2020,,,office@skywarn.at,"Phone: , Fax: ",,,,,,,,,,,,
,,ÖVSV,Österreichischer Versuchssenderverband – Dachverband,,,"Industriezentrum NÖ-Süd, Straße 14, Objekt 31",Wiener Neudorf,,2351,Niederösterreich,AUSTRIA,,,vereine_privat_9_24-08-2020,,,oevsv@oevsv.at,"Phone: +4319992132, Fax: +4319992133",,,,,,,,,,,,
,,ÖSV,Österreichischer Skiverband,,,Olympiastraße 10,Innsbruck,,6020,Tirol,AUSTRIA,,,vereine_privat_10_24-08-2020,,,info@oesv.at,"Phone: +43512335010, Fax: +43512361998",,,,,,,,,,,,
,,Pro mente,Österreichischer Dachverband für Vereine und Gesellschaften für psychische und soziale Gesundheit,,,Johann-Konrad-Vogel-Straße 13,Linz,,4020,Oberösterreich,AUSTRIA,,,vereine_privat_11_24-08-2020,,,office@promenteaustria.at,"Phone: +43732785397, Fax: ",,,,,,,,,,,,
,,Schülerunion,Schülerunion Österreich,,,Lichtenfelsgasse 7,Wien,,1010,Wien,AUSTRIA,,,vereine_privat_12_06-09-2020,,,service@schuelerunion.at,"Phone: +436649601571, Fax: ",,,,,,,,,,,,
,,C3W,Chaos Computer Club Wien,,,Rathausstraße 6,Wien,,1010,Wien,AUSTRIA,,,vereine_privat_13_24-08-2020,,,buero@c3w.at,"Phone: , Fax: ",,,,,,,,,,,,
,,NOYB,NOYB - Europäisches Zentrum für digitale Rechte,,,Goldschlagstraße 172/4/2,Wien,,1140,Wien,AUSTRIA,,,vereine_privat_14_24-08-2020,,,info@noyb.eu,"Phone: , Fax: ",,,,,,,,,,,,
,,metalab,Verein zur Förderung der Erforschung und Bildung sozialer und technischer Innovationen – metalab,,,Rathausstraße 6,Wien,,1010,Wien,AUSTRIA,,,vereine_privat_15_24-08-2020,,,core@metalab.at,"Phone: +43720002323, Fax: ",,,,,,,,,,,,
