"Firmenname ","Branche","Adresse","PLZ","Stadt","Land","E-Mail","Tel","Fax","E-Mail2","Tel2","Fax2"
"DIE ERSTE Leasing Grundstückverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE ERSTE Leasing Immobilien Vermietungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE ERSTE Leasing Immobilienbesitzgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE ERSTE Leasing Immobilienverwaltungs- und -vermietungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE ERSTE Leasing Realitätenverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE EVA - Liegenschaftsverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"""DIE EVA"" Grundstückverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE EVA-Gebäudeleasinggesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"DIE EVA-Immobilienleasing und -erwerb Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Die Niederösterreichische Leasing Gesellschaft m.b.H. & Co. KG","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Dienstleistungszentrum Leoben GmbH","Finanzinstitut","Andreas-Hofer-Platz 17",8010,"Graz","Österreich",,,,,,
"DLV Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"""DÖHAU"" Liegenschaftsges.m.b.H.","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"Domus IC Leasinggesellschaft m.b.H.","Finanzinstitut","St. Julien-Str. 12",5020,"Salzburg","Österreich",,,,,,
"Doro Dorotheergasse 17 Liegenschaftsverwaltung GmbH","Finanzinstitut","Dorotheergasse 17",1010,"Wien","Österreich",,,,,,
"DOROS Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"DUODEC Z Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngase 21",1040,"Wien","Österreich",,,,,,
"easyleasing GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"EHRENHÖFLER Leasing Gesellschaft m.b.H.","Finanzinstitut","Römerstraße 39",4600,"Wels","Österreich",,,,,,
"EKZ-Immorent Vermietung GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Empusa Leasinggesellschaft m.b.H.","Finanzinstitut","Reisingergasse 9 Top 7",1100,"Wien","Österreich",,,,,,
"EPS Dike West-IBC GmbH","Finanzinstitut","Floridsdorfer Hauptstraße 1",1210,"Wien","Österreich",,,,,,
"Epsilon - Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"ERFOLG Liegenschaftsvermietungs GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Erste Bank und Sparkassen Leasing GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Erste Group Immorent AG","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Esquilin Grundstücksverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"ETEOKLES Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Eurolease AMUN Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Eurolease ANUBIS Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Eurolease ISIS Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Eurolease MARDUK Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Eurolease RA Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Eurolease RAMSES Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"EUROPASTEG Errichtungs- und Betriebs GmbH","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"Eurotherme Bad Schallerbach Hotelerrichtungsgesellschaft m.b.H.","Finanzinstitut","Landstr. 38",4020,"Linz","Österreich",,,,,,
"EVA-Immobilienvermietungs- und -verwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Eva-Immobilienverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Eva-Realitätenverwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Expanda Immobilien Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"F & S Leasing GmbH","Finanzinstitut","August Jaksch Straße 16",9020,"Klagenfurt","Österreich",,,,,,
"FACILITAS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,5350310,,,
"FAMOB Mobilien- und Anlagenleasing Gesellschaft m.b.H.","Finanzinstitut","Friesacher Straße 19",9300,"St. Veit an der Glan","Österreich",,,,,,
"FAVIA Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"FCA Leasing GmbH","Finanzinstitut","Schönbrunner Straße 297-307",1120,"Wien","Österreich",,,,,,
"FEBRIS Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"FELMA Immobilien GmbH","Finanzinstitut","Wagramer Straße 252",1220,"Wien","Österreich",,,,,,
"Fides Anlagen- und Maschinen-Vermietung Gesellschaft m.b.H.","Finanzinstitut","Bauernmarkt 2",1010,"Wien","Österreich",,,,,,
"FIDES I Immobilienanlagen Gesellschaft m.b.H.","Finanzinstitut","Bauernmarkt 2",1010,"Wien","Österreich",,,,,,
"Fides Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"FINN Arsenal Leasing GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"First Leasing Service Center GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"FMZ Sigma Projektentwicklungs GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Folia Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"FORIS Grundstückvermietungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Forum IC Leasinggesellschaft m.b.H.","Finanzinstitut","St. Julien Str. 12",5020,"Salzburg","Österreich",,,,,,
"Fugato Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"FUKO-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"G + R Leasing Gesellschaft m.b.H. & Co. KG.","Finanzinstitut","Kaiserfeldgasse 5-7",8010,"Graz","Österreich",,,,,,
"GALA Grundstückverwaltung Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"GAMMA HYPO Grund- und Bau-Leasing Gesellschaft m.b.H.","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"Gara RPK Grundstücksverwaltungsgesellschaft m.b.H.","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Garage Eisenstadt Betriebsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"GBS Grundstücksverwaltungsgesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Gebäudeleasing Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Gemeindeleasing Grundstückverwaltung Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Generali Leasing GmbH","Finanzinstitut","Landskrongasse 1-3",1010,"Wien","Österreich",,,,,,
"GENO Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,"+4317160121",,,
"GGJ Beteiligungs GmbH & Co Projekt Sieben OG","Finanzinstitut","Alserbachstraße 32",1090,"Wien","Österreich",,,,,,
"GIROLEASING-Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Grundstücksgesellschaft Hotel Lerchenfelder Gürtel 9-11 mbH","Finanzinstitut","Lerchenfeldergürtel 7",1160,"Wien","Österreich",,,,,,
"Grundstücksverwaltung Linz-Mitte GmbH","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Grundstücksverwaltung Salzburg-Mitte GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"Grundstücksverwaltung Steyr GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"Grundstücksverwaltung Villach-Süd GmbH","Finanzinstitut","Schillerstr. 68",4020,"Linz","Österreich",,,,,,
"GZ Immobilienverwaltungs GmbH","Finanzinstitut","Dr.-Kraitschek-Gasse 7-9",2486,"Pottendorf","Österreich",,,,,,
"GZ-Finanz Leasing Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"HABITO Raiffeisen-Immobilien-Leasing GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"Hainburger Straße 15 ProjektentwicklungsgmbH","Finanzinstitut","Thomas-Klestil-Platz 3",1030,"Wien","Österreich",,,,,,
"HBV Beteiligungs-GmbH","Finanzinstitut","Hypogasse 1",3100,"St.Pölten","Österreich",,,,,,
"HBV Holding und Beteiligungsverwaltung GmbH.","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Hebbel Projektentwicklung Gesellschaft mbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"""HERA"" Grundstücksverwaltungsgesellschaft m.b.H.","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HERA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"HERKU Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Herkules Holding GmbH","Finanzinstitut","Wildpretmarkt 2-4",1010,"Wien","Österreich",,,,,,
"Herkules Hotel Errichtungs- und Verwaltungsgesellschaft m.b.H.","Finanzinstitut","Wildpretmarkt 2-4",1010,"Wien","Österreich",,,,,,
"HESTIA Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H. in Liqu.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"HETA ASSET RESOLUTION AG","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt","Österreich",,,,,,
"HETA Asset Resolution Leasing GmbH","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HETA BA Leasing Süd GmbH","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HETA Grund- und Bau-Leasing GmbH","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HETA Immobilien- und Bauconsult GmbH","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HETA Leasing Kärnten GmbH & Co KG","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HETA Luftfahrzeuge Leasing GmbH","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HETA Real Estate GmbH","Finanzinstitut","Alpen-Adria-Platz 1",9020,"Klagenfurt am Wörthersee","Österreich",,,,,,
"HFE alpha Handels-GmbH","Finanzinstitut","Quellenstraße 51-55",1100,"Wien","Österreich",,,,,,
"Hietzinger-Spitz Projektentwicklung GmbH","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"HIL Baumarkt Triester Straße Immobilienleasing GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HIL BETA Mobilienverwertung GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HIL EPSILON Mobilienleasing GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HIL Immobilien GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HIL Mobilienleasing GmbH & Co KG","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HIL Real Estate alpha GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"""HO-IMMOTREU"" Grundstücksverwaltungsgesellschaft m.b.H.","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HONEU Leasing Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"HOSPES-Grundstückverwaltungs Gesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"Hotel et Residence Sans Souci de Vienne GmbH","Finanzinstitut","Wiedner Hauptstraße 57/3",1040,"Wien","Österreich",,,,,,
"Hotel- und Sportstätten-Beteiligungs-, Errichtungs- und Betriebsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Hotel- und Sportstätten-Beteiligungs-, Errichtungs- und Betriebsgesellschaft m.b.H. Leasing KG","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"HYPO Alpha Immobilienerrichtungs- und Verwertungs GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"HYPO Beteiligung Gesellschaft m.b.H.","Finanzinstitut","Residenzpl. 7",5020,"Salzburg","Österreich",,,,,,
"HYPO Grund- und Bau-Leasing Gesellschaft m.b.H.","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"Hypo Immobilien Anlagen GmbH","Finanzinstitut","Landstraße 38",4020,"Linz","Österreich",,,,,,
"Hypo Immobilien Besitz GmbH","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"Hypo Immobilienleasing Gesellschaft m.b.H.","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"HYPO IMPULS Immobilien Leasing GmbH","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"HYPO IMPULS Immobilien Rif GmbH","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"HYPO IMPULS Mobilien Leasing GmbH","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"HYPO IMPULS Vital Leasing GmbH","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"HYPO Liegenschaftsverwertungs Gesellschaft m.b.H.","Finanzinstitut","Rudolfskai 50",5020,"Salzburg","Österreich",,,,,,
"HYPO Niederösterreich-Immobilienleasinggesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"HYPO Niederösterreichische Liegenschaft GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"HYPO NOE Immobilien Beteiligungsholding GmbH","Finanzinstitut","Hypogasse 1",3100,"St.Pölten","Österreich",,,,,,
"HYPO NOE Leasing GmbH","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"HYPO Salzburg IMPULS Leasing GmbH","Finanzinstitut","Petersbrunnstraße 3",5020,"Salzburg","Österreich",,,,,,
"HYPO Steiermark Immobilienleasing GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"HYPO Steiermark Kommunal- und Gebäudeleasing GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"HYPO Steiermark Leasing - Holding GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"HYPO Steiermark PUNTI Grundstücksverwaltung GmbH","Finanzinstitut","Kaiserfeldgasse 5",8010,"Graz","Österreich",,,,,,
"HYPO TIROL LEASING GMBH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Hypo Tirol Leasing Wiener Betriebsansiedlungen GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"HYPO-IMPULS Immobilien GmbH","Finanzinstitut","Landstr. 38",4010,"Linz","Österreich",,,,,,
"HYPO-IMPULS-Alpha Immobilien GmbH in Liqu.","Finanzinstitut","Schillerstr. 68",4020,"Linz","Österreich",,,,,,
"HYPO-REAL 93 Mobilien-Leasinggesellschaft m.b.H.","Finanzinstitut","Hypogasse 1",3100,"St. Pölten","Österreich",,,,,,
"HYPO-RENT Betriebsansiedlungs-Gesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Hypo-Rent Gebäudeleasing 1987 Gesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Hypo-Rent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Hypo-Rent II Grundverwertung GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Hypo-Rent Immobilienverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"Hypo-Rent Liegenschaftsanlage-Gesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"HYPO-Tirol Mobilienleasing Gesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,"+43512577210",,,
"HYPO-TIROL Mobilienleasing II GmbH","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,,,,
"I&B Immobilien und Bewertungs GmbH","Finanzinstitut","Landstraße 38",4020,"Linz","Österreich",,,,,,
"IBF-Anlagenleasing 95 Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IGNIS Raiffeisen-Immobilien-Leasing Gesellschaft m.b.H.","Finanzinstitut","Mooslackengasse 12",1190,"Wien","Österreich",,,,,,
"IKB Leasing Austria GmbH","Finanzinstitut","Zaunergasse 4-6/4. Stock",1030,"Wien","Österreich",,,,,,
"IL 1 Raiffeisen-IMPULS-Mobilienleasing Gesellschaft m.b.H.","Finanzinstitut","Europaplatz 1a",4020,"Linz","Österreich",,,,,,
"ILGES - Immobilien- und Leasing - Gesellschaft m.b.H.","Finanzinstitut","Stadtplatz 24",4150,"Rohrbach (OÖ)","Österreich",,,,,,
"ILION-Immorent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMF PRIMA Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"immigon portfolioabbau ag","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"Immobilien Gleinstätten GmbH","Finanzinstitut","Gleinstätten 168",8443,"Gleinstätten","Österreich",,,,,,
"Immobilien Holding GmbH","Finanzinstitut","Leopold-Moses-Gasse 4",1020,"Wien","Österreich",,,,,,
"Immobilien- und Wohnhausverwertungs AG & Co KG","Finanzinstitut","Linzer Gasse 10",5020,"Salzburg","Österreich",,,,,,
"Immobilienleasing Grundstücksverwaltungs-Gesellschaft m.b.H.","Finanzinstitut","Operngasse 21",1040,"Wien","Österreich",,,,,,
"Immoconsult Ares Leasinggesellschaft m.b.H.","Finanzinstitut","Peregringasse 2",1090,"Wien","Österreich",,,,,,
"IMMOFINANZ Aleos Anlagen Leasing GmbH","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"Immofinanz Beta Liegenschaftsvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"Immofinanz Epsilon Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"Immofinanz Gamma Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"IMMOFINANZ JOTA Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"IMMOFINANZ LAMBDA Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"IMMOFINANZ OMIKRON Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"IMMOFINANZ SITA Liegenschafts- und Mobilienvermietungsgesellschaft m.b.H.","Finanzinstitut","Wienerbergstraße 11",1100,"Wien","Österreich",,,,,,
"IMMOLEAS Grundstücksverwaltungsgesellschaft m.b.H.","Finanzinstitut","Poststraße 11",6850,"Dornbirn","Österreich",,,,,,
"IMMORENT - ANDROMEDA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,"+4315889450",,,
"Immorent - Immobilienleasing Gesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent - Kagraner Grundstücksverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent - Kappa Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent - Weiko Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent - Wörgler Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"ImmoRent Einkaufszentren Verwaltungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent Lehrbauhöfeerrichtungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT RIED GmbH","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT SPARKASSE ST. PÖLTEN Leasinggesellschaft m.b.H.","Finanzinstitut","Domgasse 5",3100,"St. Pölten","Österreich",,,,,,
"IMMORENT West Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-ANUBIS Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-ASTRA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-BRAUGEBÄUDE-Leasinggesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-CHEMILEN Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Clio-Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Gamma-Grundstücksverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Gebäudeleasinggesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-GREKO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Hackinger Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-HATHOR Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Hypo-Rent Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Hypo-Passage 2",6020,"Innsbruck","Österreich",,,"+43512577210",,,
"IMMORENT-JULIA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-KRABA Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-LEANDER Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Lispa Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Sparkassenplatz 5",6020,"Innsbruck","Österreich",,,,,,
"IMMORENT-MARCO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Mobilienvermietungs-Gesellschaft m.b.H., Liegenschaftsverwaltung Penzing & Co KG","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-MOMO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-MÖRE Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"Immorent-Mytho Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Sparkassenplatz 5",6020,"Innsbruck","Österreich",,,,,,
"IMMORENT-NERO Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-Objektvermietungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
"IMMORENT-OSIRIS Grundverwertungsgesellschaft m.b.H.","Finanzinstitut","Am Belvedere 1",1100,"Wien","Österreich",,,,,,
