Name,Name_Lang,Branche,Typ,Adresse,PLZ,Ort,Ebene,E-Mail,Tel,Fax,Pruefung
LBS Zistersdorf,Landesberufsschule Zistersdorf,Bildung,Berufsschule,Schlossplatz 7,2225,Zistersdorf,Niederösterreich,direktion@lbszistersdorf.ac.at,+4325322360,+4325322360110,08.09.2020
LWBS Edelhof,Landwirtschaftliche Berufsschule Edelhof,Bildung,Berufsschule,Edelhof 1a,3910,Zwettl,Niederösterreich,office@bs-edelhof.ac.at,+432822540730,+43282254073015,08.09.2020
Ferdinand Porsche FernFH,Ferdinand Porsche Fern-Fachhochschule GmbH,Bildung,Fachhochschul-Einrichtung,Ferdinand Porsche Ring 3,2700,Wiener Neustadt,Niederösterreich,office@fernfh.ac.at,+43262232600,,24.08.2020
MilAk,Theresianische Militärakademie,Bildung,Fachhochschul-Einrichtung,Burgplatz 1,2700,Wiener Neustadt,Niederösterreich,redaktion.milak@bmlv.gv.at,+43502012028901,,24.08.2020
FH St. Pölten,Fachhochschule St. Pölten GmbH,Bildung,Fachhochschule,Matthias Corvinus-Straße 15,3100,St. Pölten,Niederösterreich,csc@fhstp.ac.at,+432742313228200,+432742313228339,24.08.2020
FH Wiener Neustadt,Fachhochschule Wiener Neustadt GmbH,Bildung,Fachhochschule,Johannes Gutenberg-Straße 3,2700,Wiener Neustadt,Niederösterreich,office@fhwn.ac.at,+432622890840,+4326228908499,24.08.2020
IMC Fachhochschule Krems,IMC Fachhochschule Krems GmbH,Bildung,Fachhochschule,Piaristengasse 1,3500,Krems an der Donau,Niederösterreich,datenschutz@fh-krems.ac.at,+432732802,,24.08.2020
Bertha von Suttner Privatuniversität,Bertha von Suttner Privatuniversität St. Pölten GmbH,Bildung,Privatuniversität,Matthias Corvinus-Straße 15,3100,St. Pölten,Niederösterreich,office@suttneruni.at,+432742313228800,,24.08.2020
DPU,Danube Private University GmbH,Bildung,Privatuniversität,Steiner Landstraße 124,3500,Krems an der Donau,Niederösterreich,info@dp-uni.ac.at,+43676842419305,,24.08.2020
KL,Karl Landsteiner Privatuniversität für Gesundheitswissenschaften GmbH,Bildung,Privatuniversität,Dr.-Karl-Dorrek-Straße 30,3500,Krems an der Donau,Niederösterreich,office@kl.ac.at,+432732720900,+43273272090500,24.08.2020
NDU,New Design University Privatuniversität GesmbH,Bildung,Privatuniversität,Mariazeller Straße 97a,3100,St. Pölten,Niederösterreich,office@ndu.ac.at,+4327428902411,+4327428902413,24.08.2020
KPH Wien/Krems,Kirchliche Pädagogische Hochschule Wien/Krems,Bildung,Pädagogische Hochschule,Mayerweckstraße 1,1210,Wien,Niederösterreich,datenschutz@kphvie.ac.at,+431291080,+43129108402,24.08.2020
PH Niederösterreich,Pädagogische Hochschule Niederösterreich,Bildung,Pädagogische Hochschule,Mühlgasse 67,2500,Baden,Niederösterreich,support@ph-noe.ac.at,+43225288570108,,24.08.2020
Donau Uni,Universität für Weiterbildung Krems,Bildung,Universität,Dr.-Karl-Dorrek-Straße 30,3500,Krems an der Donau,Niederösterreich,info@donau-uni.ac.at,+4327328930,+4327328934000,23.08.2020
KFA der Beamten der Stadtgemeinde Baden,Krankenfürsorge der Beamten der Stadtgemeinde Baden,Gesundheit,Krankenfürsorgeanstalt,Hauptplatz 1,2500,Baden,Niederösterreich,,+4373270701241,,20.08.2020
Landespolizeidirektion Niederösterreich,Landespolizeidirektion Niederösterreich,Infrastruktur,Polizei,Neue Herrengasse 15,3100,St. Pölten,Niederösterreich,LPD-N@polizei.gv.at,+4359133300,+4359133301009,19.09.2020
Apothekerkammer Niederösterreich,Apothekerkammer Niederösterreich,Interessensvertretung,Kammer,Spitalgasse 31,1091,Wien Postfach,Niederösterreich,noe@apothekerkammer.at,+43140414162,+4314088818,18.08.2020
Arbeiterkammer Niederösterreich,Kammer für Arbeiter und Angestellte für Niederösterreich,Interessensvertretung,Kammer,AK-Platz 1,3100,St. Pölten,Niederösterreich,mailbox@aknoe.at,+4357171,,18.08.2020
Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich,Kammer der Steuerberater und Wirtschaftsprüfer Niederösterreich,Interessensvertretung,Kammer,Schönbrunnerstraße 222-228/1/6/2,1120,Wien,Niederösterreich,office@ksw.or.at,+431811730,+43181173100,18.08.2020
"Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland","Kammer der ZiviltechnikerInnen für Wien, Niederösterreich und Burgenland",Interessensvertretung,Kammer,Karlsgasse 9/1,1040,Wien,Niederösterreich,kammer@arching.at,+4315051781,+4315051005,18.08.2020
Landeszahnärztekammer Niederösterreich,Landeszahnärztekammer Niederösterreich,Interessensvertretung,Kammer,Kremser Gasse 20,3100,St. Pölten,Niederösterreich,office@noe.zahnaerztekammer.at,+43505113100,+43505113109,18.08.2020
"Notariatskammer für Wien, Niederösterreich und Burgenland","Notariatskammer für Wien, Niederösterreich und Burgenland ",Interessensvertretung,Kammer,Landesgerichtsstraße 20,1010,Wien,Niederösterreich,kammer-wnb@notar.or.at,+43140245090,+4314063475,18.08.2020
NÖ Landarbeiterkammer,Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in Niederösterreich,Interessensvertretung,Kammer,Marco d'Avianogasse 1/1,1010,Wien,Niederösterreich,lak@lak-noe.at,+431512160110,+4315139366,18.08.2020
Rechtanswaltskammer Niederösterreich,Rechtanswaltskammer Niederösterreich,Interessensvertretung,Kammer,Andreas-Hofer-Straße 6,3100,St. Pölten,Niederösterreich,office@raknoe.at,+432742716500,+43274276588,18.08.2020
Wirtschaftskammer Niederösterreich,Wirtschaftskammer Niederösterreich,Interessensvertretung,Kammer,Wirtschaftskammer-Platz 1,3100,St. Pölten,Niederösterreich,wknoe@wknoe.at,+4327428510,+43274285115899,18.08.2020
Ärztekammer Niederösterreich,Ärztekammer Niederösterreich,Interessensvertretung,Kammer,Wipplingerstraße 2,1010,Wien,Niederösterreich,arztnoe@arztnoe.at,+431537510,+4315375119,18.08.2020
Die Grünen,Die Grünen Niederösterreich,Interessensvertretung,Partei,Daniel Gran Straße 48,3100,St. Pölten,Niederösterreich,noe@gruene.at,+432742310660,+43274231066011,19.09.2020
FPÖ,FPÖ-Landesgruppe NÖ,Interessensvertretung,Partei,Purkersdorferstraße 38,3100,St. Pölten,Niederösterreich,fpoe-niederoesterreich@fpoe.at,+432742256280,+43274225628034,19.09.2020
NEOS,NEOS – Das Neue Österreich und Liberales Forum,Interessensvertretung,Partei,Josefstraße 3,3100,St. Pölten,Niederösterreich,niederoesterreich@neos.eu,+4366488782475,,19.09.2020
SPÖ,Sozialdemokratischen Partei Österreichs – Landesorganisation Niederösterreich,Interessensvertretung,Partei,Niederösterreichring 1A,3100,St. Pölten,Niederösterreich,servicenoe@spoe.at,+43274222550,,19.09.2020
ÖVP,Volkspartei Niederösterreich,Interessensvertretung,Partei,Ferstlergasse 4,3100,St. Pölten,Niederösterreich,vp.direkt@vpnoe.at ,+43274290200,,19.09.2020
BH Braunau,Bezirkshauptmannschaft Braunau,Bezirksbehörde,Administration,Hammersteinplatz 1,5280,Braunau am Inn,Oberösterreich,bh-br.post@ooe.gv.at,+4377228030,,19.08.2020
BH Freistadt,Bezirkshauptmannschaft Freistadt,Bezirksbehörde,Administration,Promenade 5,4240,Freistadt,Oberösterreich,bh-fr.post@ooe.gv.at,+4379427020,+437942702262399,19.08.2020
BH Gmunden,Bezirkshauptmannschaft Gmunden,Bezirksbehörde,Administration,Esplanade 10,4810,Gmunden,Oberösterreich,bh-gm.post@ooe.gv.at,+4376127920,+437327720263399,19.08.2020
BH Grieskirchen und Eferding,Bezirkshauptmannschaften Grieskirchen und Eferding,Bezirksbehörde,Administration,Manglburg 14,4710,Grieskirchen,Oberösterreich,BH-GR-EF.Post@ooe.gv.at,+4372486030,+437327720264399,19.08.2020
BH Kirchdorf,Bezirkshauptmannschaft Kirchdorf,Bezirksbehörde,Administration,Garnisonstraße 3,4560,Kirchdorf an der Krems,Oberösterreich,bh-ki.post@ooe.gv.at,+4375826850,+437582685265399,19.08.2020
BH Linz-Land,Bezirkshauptmannschaft Linz-Land,Bezirksbehörde,Administration,Kärntnerstraße 14-16,4020,Linz,Oberösterreich,bh-ll.post@ooe.gv.at,+43732694140,+4373269414266399,19.08.2020
BH Perg,Bezirkshauptmannschaft Perg,Bezirksbehörde,Administration,Dirnbergerstraße 11,4320,Perg,Oberösterreich,bh-pe.post@ooe.gv.at,+4372625510,+437262551267399,19.08.2020
BH Ried,Bezirkshauptmannschaft Ried,Bezirksbehörde,Administration,Parkgasse 1,4910,Ried im Innkreis,Oberösterreich,bh-ri.post@ooe.gv.at,+4377529120,+437327720268399,19.08.2020
BH Rohrbach,Bezirkshauptmannschaft Rohrbach,Bezirksbehörde,Administration,Am Teich 1,4150,Rohrbach in Oberösterreich,Oberösterreich,bh-ro.post@ooe.gv.at,+43728988510,+4372898851269399,19.08.2020
BH Schärding,Bezirkshauptmannschaft Schärding,Bezirksbehörde,Administration,Ludwig-Pfliegl-Gasse 11,4780,Schärding,Oberösterreich,Personal.BH-SD.Post@ooe.gv.at,+43771231050,+4377123105270399,19.08.2020
BH Steyr-Land,Bezirkshauptmannschaft Steyr-Land,Bezirksbehörde,Administration,Spitalskystraße 10a,4400,Steyr,Oberösterreich,bh-se.post@ooe.gv.at,+437252523610,+43725252361271399,19.08.2020
BH Urfahr-Umgebung,Bezirkshauptmannschaft Urfahr-Umgebung,Bezirksbehörde,Administration,Peuerbachstraße 26,4040,Linz,Oberösterreich,bh-uu.post@ooe.gv.at,+437327313010,+43732731301272399,19.08.2020
BH Vöcklabruck,Bezirkshauptmannschaft Vöcklabruck,Bezirksbehörde,Administration,Sportplatzstraße 1-3,4840,Vöcklabruck,Oberösterreich,bh-vb.post@ooe.gv.at,+4376727020,+437672702273399,19.08.2020
BH Wels-Land,Bezirkshauptmannschaft Wels-Land,Bezirksbehörde,Administration,Herrengasse 8,4600,Wels,Oberösterreich,bh-wl.post@ooe.gv.at,+4372426180,+437242618274399,19.08.2020
Bildungsdirektion Oberösterreich,Bildungsdirektion Oberösterreich,Bildung,Behörde,Sonnensteinstraße 20,4040,Linz,Oberösterreich,bd.post@bildung-ooe.gv.at,+4373270714131,+4373270714140,19.08.2020
BS Altmünster,Berufsschule Altmünster,Bildung,Berufsschule,Ebenzweierstraße 26,4813,Altmünster,Oberösterreich,bs-altmuenster.post@ooe.gv.at,+4361288530,+437327720258309,12.09.2020
BS Attnang,Berufsschule Attnang,Bildung,Berufsschule,Schulweg 5 – 7,4800,Attnang-Puchheim,Oberösterreich,bs-attnang.post@ooe.gv.at,+43732772035100,+437327720235199,12.09.2020
BS Freistadt,Berufsschule Freistadt,Bildung,Berufsschule,Linzer Straße 45,4240,Freistadt,Oberösterreich,bs-freistadt.post@ooe.gv.at,+43732772035300,+437327720235399,12.09.2020
BS Gmunden,"Berufsschule Vöcklabruck-Gmunden, Standort Gmunden",Bildung,Berufsschule,Miller v. Aichholz-Straße 30a,4810,Gmunden,Oberösterreich,gm.bs-vg.post@ooe.gv.at,+43732772037406,+437327720237499,12.09.2020
BS Gmunden 1,Berufsschule Gmunden 1,Bildung,Berufsschule,Miller v. Aichholz-Straße 30,4810,Gmunden,Oberösterreich,bs-gmunden1.post@ooe.gv.at,+43761264669,+437327720258349,12.09.2020
BS Kremsmünster,Berufsschule Kremsmünster,Bildung,Berufsschule,Kirchberg 8,4550,Kremsmünster,Oberösterreich,bs-kremsmuenster.post@ooe.gv.at,+43732772035600,+437327720235699,12.09.2020
BS Linz 1,Berufsschule Linz 1,Bildung,Berufsschule,Reindlstraße 48 – 50,4040,Linz,Oberösterreich,bs-linz1.post@ooe.gv.at,+43732772035700,+437327720235799,12.09.2020
BS Linz 10,Berufsschule Linz 10,Bildung,Berufsschule,Glimpfingerstraße 8d,4020,Linz,Oberösterreich,bs-linz10.post@ooe.gv.at,+43732772036600,+437327720236699,12.09.2020
BS Linz 2,Berufsschule Linz 2,Bildung,Berufsschule,Wiener Straße 181,4020,Linz,Oberösterreich,bs-linz2.post@ooe.gv.at,+43732772035800,+437327720235899,12.09.2020
BS Linz 3,Berufsschule Linz 3,Bildung,Berufsschule,Makartstraße 3a,4020,Linz,Oberösterreich,bs-linz3.post@ooe.gv.at,+43732772035900,+437327720235999,12.09.2020
BS Linz 5,Berufsschule Linz 5,Bildung,Berufsschule,Glimpfingerstraße 8a,4020,Linz,Oberösterreich,bs-linz5.post@ooe.gv.at,+43732772036100,+437327720236199,12.09.2020
BS Linz 6,Berufsschule Linz 6,Bildung,Berufsschule,Ferihumerstraße 28,4040,Linz,Oberösterreich,bs-linz6.post@ooe.gv.at,+43732772036200,+437327720236299,12.09.2020
BS Linz 7,Berufsschule Linz 7,Bildung,Berufsschule,Ferihumerstraße 28,4040,Linz,Oberösterreich,bs-linz7.post@ooe.gv.at,+43732772036300,+437327720236399,12.09.2020
BS Linz 8,Berufsschule Linz 8,Bildung,Berufsschule,Glimpfingerstraße 8b,4020,Linz,Oberösterreich,bs-linz8.post@ooe.gv.at,+43732772036400,+437327720236499,12.09.2020
BS Linz 9,Berufsschule Linz 9,Bildung,Berufsschule,Wiener Straße 181,4020,Linz,Oberösterreich,bs-linz9.post@ooe.gv.at,+43732772036500,+437327720236599,12.09.2020
BS Mattighofen,Berufsschule Mattighofen,Bildung,Berufsschule,Feldstraße 3,5230,Mattighofen,Oberösterreich,bs-mattighofen.post@ooe.gv.at,+4377422271,+437327720258499,12.09.2020
BS Ried,Berufsschule Ried,Bildung,Berufsschule,Volksfeststraße 7,4910,Ried im Innkreis,Oberösterreich,bs-ried.post@ooe.gv.at,+43732772036900,+437327720236999,12.09.2020
BS Rohrbach,Berufsschule Rohrbach,Bildung,Berufsschule,Schulstraße 7,4150,Rohrbach in Oberösterreich,Oberösterreich,bs-rohrbach.post@ooe.gv.at,+43732772037000,+437327720237099,12.09.2020
BS Schärding,Berufsschule Schärding,Bildung,Berufsschule,Ziergartenstraße 2,4780,Schärding,Oberösterreich,bs-schaerding.post@ooe.gv.at,+43732772037100,+437327720237199,12.09.2020
BS Steyr 1,Berufsschule Steyr 1,Bildung,Berufsschule,Otto-Pensel-Straße 14,4400,Steyr,Oberösterreich,bs-steyr1.post@ooe.gv.at,+43732772037200,+437327720237299,12.09.2020
BS Vöcklabruck,"Berufsschule Vöcklabruck-Gmunden, Standort Vöcklabruck",Bildung,Berufsschule,Englweg 1,4840,Vöcklabruck,Oberösterreich,vb.bs-vg.post@ooe.gv.at,+43732772037405,+437327720237499,12.09.2020
BS Wels 1,Berufsschule Wels 1,Bildung,Berufsschule,Linzer Straße 68,4600,Wels,Oberösterreich,bs-wels1.post@ooe.gv.at,+43732772037500,+437327720237599,12.09.2020
BS Wels 3,Berufsschule Wels 3,Bildung,Berufsschule,Carl-Blum-Straße 8,4600,Wels,Oberösterreich,bs-wels3.post@ooe.gv.at,+43732772037700,+437327720237799,12.09.2020
FH Gesundheitsberufe Oberösterreich,FH Gesundheitsberufe OÖ GmbH,Bildung,Fachhochschul-Einrichtung,Semmelweisstraße 34/D3,4020,Linz,Oberösterreich,office@fhgooe.ac.at,+435034420000,+435034420099,24.08.2020
FH Oberösterreich,FH OÖ Studienbetriebs GmbH,Bildung,Fachhochschule,Roseggerstraße 15,4600,Wels,Oberösterreich,info@fh-ooe.at,+435080410,+435080411900,24.08.2020
Bruckner Uni,Anton Bruckner Privatuniversität,Bildung,Privatuniversität,Hagenstraße 57,4040,Linz,Oberösterreich,information@bruckneruni.at,+43732701000,+43732701000299,24.08.2020
KU Linz,Katholische Privat-Universität Linz,Bildung,Privatuniversität,Bethlehemstraße 20,4020,Linz,Oberösterreich,office@ku-linz.at,+43732784293,+437327842934155,24.08.2020
PH Linz,Private Pädagogische Hochschule der Diözese Linz,Bildung,Pädagogische Hochschule,Salesianumweg 3,4020,Linz,Oberösterreich,office@ph-linz.at,+43732772666,,24.08.2020
PH Oberösterreich,Pädagogische Hochschule Oberösterreich,Bildung,Pädagogische Hochschule,Kaplanhofstraße 40,4020,Linz,Oberösterreich,office@ph-ooe.at,+4373274700,,24.08.2020
JKU,Johannes Kepler Universität Linz,Bildung,Universität,Altenberger Straße 69,4040,Linz,Oberösterreich,datenschutz@jku.at,+4373224680,+4373224684929,23.08.2020
UFG,Universität für künstlerische und industrielle Gestaltung Linz,Bildung,Universität,Hauptplatz 6,4020,Linz,Oberösterreich,datenschutz@ufg.at,+437327898,+43732783508,23.08.2020
KFA für Beamte der Stadt Steyr,Krankenfürsorgeanstalt für Beamte der Stadt Steyr,Gesundheit,Krankenfürsorgeanstalt,"Stadtplatz 27, Postfach 200",4400,Steyr,Oberösterreich,kfa@steyr.gv.at,+437252575,,20.08.2020
KFA für die Beamten der Landeshauptstadt Linz,Krankenfürsorge für die Beamten der Landeshauptstadt Linz,Gesundheit,Krankenfürsorgeanstalt,Hauptplatz 1,4020,Linz,Oberösterreich,mkf@mag.linz.at,+4373270701241,,20.08.2020
KFA für die Beamten der Stadt Wels,Krankenfürsorge für die Beamten der Stadt Wels,Gesundheit,Krankenfürsorgeanstalt,Stadtpiatz 1,4600,Wels,Oberösterreich,kfw@wels.gv.at,+4372422354800,,20.08.2020
KFA für oberösterreichische Gemeinden,Kranken- und Unfallfürsorge für oberösterreichische Gemeinden,Gesundheit,Krankenfürsorgeanstalt,Ferihumerstraße 8,4041,"Linz, Donau Postfach",Oberösterreich,office@kfg.ooe.gv.at,+437327880000,+4373278800030,20.08.2020
KFA für oberösterreichische Landesbedienstete,Kranken- und Unfallfürsorge für oberösterreichische Landesbedienstete,Gesundheit,Krankenfürsorgeanstalt,Promenade 28,4010,"Linz, Donau",Oberösterreich,klf.post@ooe.gv.at,+43732772013861,,20.08.2020
Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,Oberösterreichische Lehrer-Kranken- und Unfallfürsorge,Gesundheit,Krankenfürsorgeanstalt,Leonfeldner Straße 11,4041,"Linz, Donau Postfach",Oberösterreich,office@kfg.ooe.gv.at,+437326682210,,20.08.2020
Pensionsinstitut der Linz AG,Pensionsinstitut der Linz AG,Gesundheit,Zuschusskasse,"Wiener Straße 151, Postfach 1300",4021,"Linz, Donau Postfach",Oberösterreich,pensionsinstitut@linzag.at,+4373234003518,+4373234003522,20.08.2020
Landespolizeidirektion Oberösterreich,Landespolizeidirektion Oberösterreich,Infrastruktur,Polizei,Gruberstraße 35,4021,"Linz, Donau Postfach",Oberösterreich,LPD-O@polizei.gv.at,+4359133500,+4359133407800,19.08.2020
Apothekerkammer Oberösterreich,Apothekerkammer Oberösterreich,Interessensvertretung,Kammer,Mozartstraße 26/1,4020,Linz,Oberösterreich,ooe@apothekerkammer.at,+43732770350,+4314028602951,18.08.2020
Arbeiterkammer Oberösterreich,Kammer für Arbeiter und Angestellte für Oberösterreich,Interessensvertretung,Kammer,Volksgartenstraße 40,4020,Linz,Oberösterreich,online@akooe.at,+43506906,+435069062860,18.08.2020
Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich,Kammer der Steuerberater und Wirtschaftsprüfer Oberösterreich,Interessensvertretung,Kammer,Landstraße 49/III,4020,Linz,Oberösterreich,ooe@ksw.or.at,+43732773385,+4373277338515,18.08.2020
Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Kammer der ZiviltechnikerInnen für Oberösterreich und Salzburg,Interessensvertretung,Kammer,Kaarstraße 2/II,4040,Linz,Oberösterreich,linz@arching-zt.at,+43732738394,+437327383944,18.08.2020
Landeszahnärztekammer Oberösterreich,Landeszahnärztekammer Oberösterreich,Interessensvertretung,Kammer,Marienstraße 9/1,4020,Linz,Oberösterreich,office@ooe.zahnaerztekammer.at,+43505114010,+43505114014,18.08.2020
Notariatskammer für Oberösterreich,Notariatskammer für Oberösterreich,Interessensvertretung,Kammer,Schmiedegasse 20/5,4040,Linz,Oberösterreich,oberoesterreich@notariatskammer.at,+43732737073,+43732708019,18.08.2020
OÖ Landarbeiterkammer,Kammer für Arbeiter und Angestellte in der Land- und Forstwirtschaft in OÖ,Interessensvertretung,Kammer,Scharitzerstraße 9,4020,Linz,Oberösterreich,office@lak-ooe.at,+43732656381,,18.08.2020
Rechtanswaltskammer Oberösterreich,Rechtanswaltskammer Oberösterreich,Interessensvertretung,Kammer,Gruberstraße 21,4020,Linz,Oberösterreich,office@ooerak.or.at,+43732771730,+4373277173085,18.08.2020
Wirtschaftskammer Oberösterreich,Wirtschaftskammer Oberösterreich,Interessensvertretung,Kammer,Hessenplatz 3,4020,Linz,Oberösterreich,service@wkooe.at,+43590909,+435909092800,18.08.2020
Ärztekammer Oberösterreich,Ärztekammer Oberösterreich,Interessensvertretung,Kammer,Dinghoferstraße 4,4010,"Linz, Donau",Oberösterreich,aekooe@aekooe.at,+437327783710,+43732783660300,18.08.2020
Die Grünen,Die Grünen OÖ - Die Grüne Alternative OÖ,Interessensvertretung,Partei,Landgutstraße 17,4040,Linz,Oberösterreich,ooe@gruene.at,+437327394000,,19.09.2020
FPÖ,"Freiheitliche Partei Österreichs (FPÖ), Landesgruppe Oberösterreich",Interessensvertretung,Partei,Blütenstraße 21/1,4040,Linz,Oberösterreich,lgst-ooe@fpoe.at,+437327364260,+4373273642615,19.09.2020
SPÖ,Sozialdemokratische Partei Oberösterreich,Interessensvertretung,Partei,Landstraße 36,4020,Linz,Oberösterreich,servicebuero@ooe.spoe.at,+435772611,+43577261132,19.09.2020
ÖVP,"Österreichische Volkspartei, Landesparteiorganisation OÖ",Interessensvertretung,Partei,Obere Donaulände 7-9,4020,Linz,Oberösterreich,office@ooevp.at,+437327620,+437327620320,19.09.2020
AKV,AKV EUROPA – Alpenländischer Kreditorenverband,Auskunfteien,Auskunfteien,Schleifmühlgasse 2,1041,Wien Postfach,Privat,office@akveuropa.at,+435041000,+435041001522,24.08.2020
AVS,AVS Betriebsorganisation GesmbH,Auskunfteien,Auskunfteien,Hebbelplatz 5,1100,Wien,Privat,austria@avs-europe.com,+4316045858,+4316039595,24.08.2020
Aktiv Inkasso,Aktiv Inkasso e.U.,Auskunfteien,Auskunfteien,Walfischgasse 6/1/242,1010,Wien,Privat,erfolg@aktivinkasso.at,+436606300000,,24.08.2020
Bisnode,Bisnode Austria GmbH,Auskunfteien,Auskunfteien,Jakov-Lind Straße 4/1,1020,Wien,Privat,office.at@bisnode.com,+431588610,+431588613444,24.08.2020
Bisnode D&B,Bisnode D&B Austria GmbH,Auskunfteien,Auskunfteien,Jakov-Lind Straße 4/1,1020,Wien,Privat,office.at@bisnode.com,+431588610,+431588613444,24.08.2020
CRIF,CRIF GmbH,Auskunfteien,Auskunfteien,Rothschildplatz 3/Top 3.06.B,1020,Wien,Privat,auskunft@crif.com,+43189742440,+4318974244833,24.08.2020
Coface Central Europe,Coface Central Europe Holding GmbH,Auskunfteien,Auskunfteien,Marxergasse 4c,1030,Wien,Privat,office@cofacecentraleurope.com,+431515540,+4315124415,24.08.2020
Creditreform Wirtschaftsauskunftei Kubicki,Creditreform Wirtschaftsauskunftei Kubicki KG,Auskunfteien,Auskunfteien,Muthgasse 36-40/Bauteil 4,1190,Wien,Privat,creditreform@wien.creditreform.at,+43121862200,+43121862204,24.08.2020
Detektei Lux,Auskunftei Lux staatl konz cand jur K.G. WRBA,Auskunfteien,Auskunfteien,Grünentorgasse 29,1090,Wien,Privat,wrba@a1.net,+4313151939,,24.08.2020
Eder Christian Auskunftei,Eder Christian Auskunftei GmbH,Auskunfteien,Auskunfteien,Wallackstraße 17,5671,Bruck an der Großglocknerstraße,Privat,christian.eder@sbg.at,+436644302981,+4365456048,24.08.2020
Fair Use Auskunftei,Fair Use Auskunftei GmbH,Auskunfteien,Auskunfteien,Metzgerstraße 54,5020,Salzburg,Privat,office@fair-use.at,+43622939024,,24.08.2020
KSV1870,KS­V1870 Hol­ding AG,Auskunfteien,Auskunfteien,Wagenseilgasse 7,1120,Wien,Privat,ksv@ksv.at,+43501870,+43501870991000,24.08.2020
PROINFORM,PROINFORM Wirtschaftsinformationen GmbH,Auskunfteien,Auskunfteien,Pongauerstraße 16,5202,Neumarkt am Wallersee,Privat,info@proinform.at,+4377463854,,24.08.2020
infoscore,infoscore austria GmbH,Auskunfteien,Auskunfteien,Weyringergasse 1,1040,Wien,Privat,info@infoscore.at,+43150364090,+4315036490968,24.08.2020
payolution,payolution GmbH,Auskunfteien,Auskunfteien,Am Euro-Platz 2,1120,Wien,Privat,office@payolution.com,+438004043300,,24.08.2020
Advanzia Bank,Advanzia Bank S.A.,Finanzen,Bank,Postfach 358,1000,Wien,Privat,service@free.at,+438008802120,+352263875699,29.09.2020
Allgemeine Sparkasse Oberösterreich,Allgemeine Sparkasse Oberösterreich Bankaktiengesellschaft,Finanzen,Bank,Promenade 11 – 13,4020,Linz,Privat,ebusiness@sparkasse-ooe.at,+435010040000,+4350100940000,18.08.2020
Austrian Anadi Bank,Austrian Anadi Bank AG,Finanzen,Bank,Domgasse 5,9020,Klagenfurt am Wörthersee,Privat,austrian@anadibank.com,+43502020,+43502023000,18.08.2020
BAWAG PSK,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,Finanzen,Bank,Wiedner Gürtel 11,1100,Wien,Privat,kundenservice@bawagpsk.com,+4359905,,18.08.2020
BKS,BKS Bank AG,Finanzen,Bank,St. Veiter Ring 43,9020,Klagenfurt am Wörthersee,Privat,bks@bks.at,+434635858,,18.08.2020
BTV,Bank für Tirol und Vorarlberg Aktiengesellschaft,Finanzen,Bank,Stadtforum 1,6020,Innsbruck,Privat,info@btv.at,+435053330,,18.08.2020
Bankhaus Carl Spängler,Bankhaus Carl Spängler & Co. AG,Finanzen,Bank,Schwarzstraße 1,5020,Salzburg,Privat,bankhaus@spaengler.at,+4366286860,+436628686158,18.08.2020
Bankhaus Schelhammer & Schattera,Bankhaus Schelhammer and Schattera AG,Finanzen,Bank,Goldschmiedgasse 3,1010,Wien,Privat,bank.office@schelhammer.at,+431534340,+431534348065,18.08.2020
Capital Bank,CAPITAL BANK – GRAWE Gruppe AG,Finanzen,Bank,Burgring 16,8010,Graz,Privat,office@capitalbank.at,+433168072,+4331680722291,18.08.2020
Die Zweite Sparkasse,Die Zweite Wiener Vereins-Sparcasse,Finanzen,Bank,"Am Schweizer Garten 1, Objekt 2",1030,Wien,Privat,wien7@diezweitesparkasse.at,+435010023092,,18.08.2020
DolomitenBank,DolomitenBank Osttirol-Westkärnten eG,Finanzen,Bank,Südtiroler Platz 9,9900,Lienz,Privat,info@dolomitenbank.at,+43485266650,+434852666535,18.08.2020
Dornbirner Sparkasse,Dornbirner Sparkasse Bank AG,Finanzen,Bank,"Sparkassenplatz 1, Postfach 18",6850,Dornbirn,Privat,service@dornbirn.sparkasse.at,+435010074000,+4350100974000,18.08.2020
Erste Bank und Sparkasse,Erste Bank der oesterreichischen Sparkassen AG,Finanzen,Bank,Am Belvedere 1,1100,Wien,Privat,service@s-servicecenter.at,+435010020111,+4350100910100,18.08.2020
Hypo Burgenland,HYPO-BANK BURGENLAND Aktiengesellschaft,Finanzen,Bank,Neusiedlerstraße 33,7000,Eisenstadt,Privat,info@bank-bgld.at,+4326826050,+4326826057209,18.08.2020
Hypo NOE und Wien,HYPO NOE Landesbank für Niederösterreich und Wien AG,Finanzen,Bank,Hypogasse 1,3100,St. Pölten,Privat,landesbank@hyponoe.at,+435909100,,18.08.2020
Hypo Oberösterreich,Oberösterreichische Landesbank Aktiengesellschaft,Finanzen,Bank,Landstraße 38,4010,"Linz, Donau",Privat,office@hypo-ooe.at,+4373276390,+437327639954954,18.08.2020
